"",".","miRNA"
"hsa-mir-146a_hsa-miR-146a-3p",0.00249363864446429,"hsa-miR-146a-3p"
"hsa-mir-16-2_hsa-miR-16-2-3p",0.0031518561664083,"hsa-miR-16-2-3p"
"hsa-mir-654_hsa-miR-654-5p",0.000648611059708303,"hsa-miR-654-5p"
"hsa-mir-10b_hsa-miR-10b-5p",0.000172725437169153,"hsa-miR-10b-5p"
"hsa-mir-624_hsa-miR-624-3p",0.000938230884038759,"hsa-miR-624-3p"
"hsa-mir-148b_hsa-miR-148b-5p",0.000347879750015389,"hsa-miR-148b-5p"
"hsa-mir-627_hsa-miR-627-5p",0.000687938238509929,"hsa-miR-627-5p"
"hsa-mir-5589_hsa-miR-5589-5p",7.98867291259271e-05,"hsa-miR-5589-5p"
"hsa-mir-136_hsa-miR-136-3p",0.00179549362277792,"hsa-miR-136-3p"
"hsa-mir-32_hsa-miR-32-3p",0.000796089789759308,"hsa-miR-32-3p"
"hsa-mir-200c_hsa-miR-200c-3p",0.000252930202881491,"hsa-miR-200c-3p"
"hsa-mir-1246_hsa-miR-1246",0.00187827690117809,"hsa-miR-1246"
"hsa-mir-127_hsa-miR-127-5p",0.00222705288551612,"hsa-miR-127-5p"
"hsa-mir-208a_hsa-miR-208a-3p",0.00163420876370089,"hsa-miR-208a-3p"
"hsa-mir-4326_hsa-miR-4326",0.000409734906880644,"hsa-miR-4326"
"hsa-mir-412_hsa-miR-412-5p",0.00104978118082048,"hsa-miR-412-5p"
"hsa-mir-6073_hsa-miR-6073",0.00113845728116145,"hsa-miR-6073"
"hsa-mir-7641-2_hsa-miR-7641",0.000412969853668667,"hsa-miR-7641"
"hsa-mir-23b_hsa-miR-23b-5p",0.00020603263700478,"hsa-miR-23b-5p"
"hsa-mir-33a_hsa-miR-33a-3p",0.000176582690872787,"hsa-miR-33a-3p"
"hsa-mir-4772_hsa-miR-4772-3p",0.00169096863131691,"hsa-miR-4772-3p"
"hsa-mir-29c_hsa-miR-29c-3p",0.00175721839486584,"hsa-miR-29c-3p"
"hsa-mir-4785_hsa-miR-4785",0.00345119679382619,"hsa-miR-4785"
"hsa-mir-3200_hsa-miR-3200-3p",0.000510892001459074,"hsa-miR-3200-3p"
"hsa-mir-20a_hsa-miR-20a-3p",0.00053845243169769,"hsa-miR-20a-3p"
"hsa-mir-92a-2_hsa-miR-92a-3p",0.000979171820362434,"hsa-miR-92a-3p"
"hsa-mir-92a-1_hsa-miR-92a-3p",0.00104738749883286,"hsa-miR-92a-3p"
"hsa-mir-18a_hsa-miR-18a-3p",0.000542578335996715,"hsa-miR-18a-3p"
"hsa-mir-101-1_hsa-miR-101-5p",0.00201331679856493,"hsa-miR-101-5p"
"hsa-mir-122_hsa-miR-122-3p",0.000710549223494972,"hsa-miR-122-3p"
"hsa-mir-155_hsa-miR-155-5p",0.000138521429892213,"hsa-miR-155-5p"
"hsa-mir-4508_hsa-miR-4508",0.00111269742790578,"hsa-miR-4508"
"hsa-mir-3173_hsa-miR-3173-5p",0.000565068644140479,"hsa-miR-3173-5p"
"hsa-mir-323a_hsa-miR-323a-3p",0.000255692591324083,"hsa-miR-323a-3p"
"hsa-mir-3940_hsa-miR-3940-3p",0.00152593733648749,"hsa-miR-3940-3p"
"hsa-mir-3120_hsa-miR-3120-3p",0.00277691588816777,"hsa-miR-3120-3p"
"hsa-mir-4732_hsa-miR-4732-5p",0.00216961890581774,"hsa-miR-4732-5p"
"hsa-mir-148a_hsa-miR-148a-5p",0.00223509410118209,"hsa-miR-148a-5p"
"hsa-mir-190a_hsa-miR-190a-5p",0.00194811417200873,"hsa-miR-190a-5p"
"hsa-mir-214_hsa-miR-214-5p",0.000131839815345848,"hsa-miR-214-5p"
"hsa-mir-99a_hsa-miR-99a-3p",0.0018734477614755,"hsa-miR-99a-3p"
"hsa-mir-409_hsa-miR-409-5p",0.000682746517820342,"hsa-miR-409-5p"
"hsa-mir-1273h_hsa-miR-1273h-5p",0.00107354221961974,"hsa-miR-1273h-5p"
"hsa-mir-199a-2_hsa-miR-199a-3p",0.00107521456267312,"hsa-miR-199a-3p"
"hsa-mir-7976_hsa-miR-7976",0.000721138445493415,"hsa-miR-7976"
"hsa-mir-539_hsa-miR-539-5p",0.00022154791602457,"hsa-miR-539-5p"
"hsa-mir-431_hsa-miR-431-5p",0.0010421661300636,"hsa-miR-431-5p"
"hsa-mir-30a_hsa-miR-30a-3p",0.00168939997308753,"hsa-miR-30a-3p"
"hsa-mir-7114_hsa-miR-7114-3p",0.000162486756285904,"hsa-miR-7114-3p"
"hsa-mir-4466_hsa-miR-4466",0.00291577877130435,"hsa-miR-4466"
"hsa-mir-584_hsa-miR-584-3p",0.00200362145120981,"hsa-miR-584-3p"
"hsa-mir-1290_hsa-miR-1290",0.00213537676283234,"hsa-miR-1290"
"hsa-mir-5100_hsa-miR-5100",0.000736853797797711,"hsa-miR-5100"
"hsa-mir-598_hsa-miR-598-3p",3.44604234585314e-05,"hsa-miR-598-3p"
"hsa-mir-128-2_hsa-miR-128-3p",0.000475056196212472,"hsa-miR-128-3p"
"hsa-mir-5096_hsa-miR-5096",4.04200900035871e-05,"hsa-miR-5096"
"hsa-mir-3613_hsa-miR-3613-5p",0.000724994513780439,"hsa-miR-3613-5p"
"hsa-let-7d_hsa-let-7d-3p",4.53731757380084e-05,"hsa-let-7d-3p"
"hsa-mir-194-2_hsa-miR-194-3p",0.000873720021471843,"hsa-miR-194-3p"
"hsa-mir-2355_hsa-miR-2355-5p",0.00101921912785569,"hsa-miR-2355-5p"
"hsa-mir-142_hsa-miR-142-5p",0.00212463961683407,"hsa-miR-142-5p"
"hsa-mir-378i_hsa-miR-378i",0.00111390535016987,"hsa-miR-378i"
"hsa-mir-6810_hsa-miR-6810-3p",0.00233620546339445,"hsa-miR-6810-3p"
"hsa-mir-5189_hsa-miR-5189-5p",0.000880803170141833,"hsa-miR-5189-5p"
"hsa-mir-145_hsa-miR-145-3p",0.00257302606302673,"hsa-miR-145-3p"
"hsa-mir-1294_hsa-miR-1294",0.000253677346767533,"hsa-miR-1294"
"hsa-mir-15b_hsa-miR-15b-3p",0.00365346230259192,"hsa-miR-15b-3p"
"hsa-mir-191_hsa-miR-191-3p",0.00102763724656132,"hsa-miR-191-3p"
"hsa-mir-758_hsa-miR-758-3p",0.00114954801522094,"hsa-miR-758-3p"
"hsa-mir-1226_hsa-miR-1226-3p",0.00153608782004613,"hsa-miR-1226-3p"
