"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-411_hsa-miR-411-3p",3.59628601894208,0.432386531715958,0.437710841251303,0.987836011737511,0.323232967703757,0.707098642943517,"hsa-miR-411-3p"
"hsa-mir-299_hsa-miR-299-5p",7.55757620558194,0.608820503327401,0.434646967464119,1.40072414833461,0.16129657858156,0.564885416800948,"hsa-miR-299-5p"
"hsa-mir-299_hsa-miR-299-3p",8.78190390350862,0.426125332746004,0.392492566433886,1.08569019947995,0.277616078108117,0.677957963285743,"hsa-miR-299-3p"
"hsa-mir-380_hsa-miR-380-3p",5.97751129056793,-0.109423380939572,0.456020720310456,-0.239952651416973,0.810366963007922,0.925291732307227,"hsa-miR-380-3p"
"hsa-mir-1197_hsa-miR-1197",3.90756447649959,1.07772881252241,0.457629556889267,2.35502448716002,0.0185214851288077,0.244873529702973,"hsa-miR-1197"
"hsa-mir-323a_hsa-miR-323a-3p",41.2697598795949,0.303920966323864,0.35651341196833,0.852481158130629,0.393947092333748,0.738328498943811,"hsa-miR-323a-3p"
"hsa-mir-758_hsa-miR-758-3p",27.1877034838539,0.706594743154886,0.434880401082781,1.62480245464174,0.104204657867628,0.481180331918166,"hsa-miR-758-3p"
"hsa-mir-329-1_hsa-miR-329-3p",24.4754260394528,0.521743706300683,0.345573978557494,1.50978875341992,0.131097335699355,0.524389342797421,"hsa-miR-329-3p"
"hsa-mir-329-2_hsa-miR-329-3p",25.2491036817627,0.452227067914955,0.364246969758075,1.24153968450394,0.214406447534434,0.615911966713898,"hsa-miR-329-3p"
"hsa-mir-494_hsa-miR-494-3p",153.553387624999,0.0846752473644628,0.315129089771678,0.268700193389994,0.788160402951711,0.918301916611641,"hsa-miR-494-3p"
"hsa-mir-543_hsa-miR-543",61.1175842918267,0.481179651170328,0.335451391865133,1.43442436919083,0.151451197538102,0.551516567103532,"hsa-miR-543"
"hsa-mir-495_hsa-miR-495-3p",77.0657328804188,0.417376253487326,0.325481538496615,1.28233464612208,0.199725279230041,0.604158587946662,"hsa-miR-495-3p"
"hsa-mir-495_hsa-miR-495-5p",3.31719460804471,-0.0882130803479524,0.441314464342178,-0.199887126925338,0.841568858500403,0.941060518603146,"hsa-miR-495-5p"
"hsa-mir-376c_hsa-miR-376c-3p",1626.97224647647,0.313439326658832,0.306887639365942,1.02134881452517,0.307089206737567,0.698296269314551,"hsa-miR-376c-3p"
"hsa-mir-376c_hsa-miR-376c-5p",3.33784834488945,0.0794757323300257,0.365459168481688,0.217468158372412,0.827843519147347,0.935628135498255,"hsa-miR-376c-5p"
"hsa-mir-376a-2_hsa-miR-376a-3p",767.125660649679,0.480972386681344,0.326664634779105,1.47237360728254,0.140920016219852,0.539250091689784,"hsa-miR-376a-3p"
"hsa-mir-376a-2_hsa-miR-376a-2-5p",14.90113303544,0.357583521262167,0.346787459324759,1.03113163883847,0.302479092740662,0.694551592336043,"hsa-miR-376a-2-5p"
"hsa-mir-654_hsa-miR-654-5p",20.9303083494906,0.783387443180733,0.379155417364559,2.06613807241874,0.0388154442180237,0.325524421326201,"hsa-miR-654-5p"
"hsa-mir-654_hsa-miR-654-3p",14.8366520592406,0.541116837627889,0.392556865104228,1.37844191690347,0.168066889197328,0.578929127240703,"hsa-miR-654-3p"
